,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate
211.0,91.70516882913059,210292.7427953749,831.8756291551597,413.3921815004597,0.0,5208319.039251536,2580052.244973619,5258649.013754177,0.039989879956876195,0.375,0.03749999999999999,0.1875,15.0,5.502310129747835,3.6682067531652236,14467.552886809823,0.3319705030220073,65733.10445528915,41.593781457757984,8.267843630009194,74.41059267008275,128.9971694823529,103.32420907064814,0.0,25.67296041170476,8000001,0.0,0.0,0.0,0.0,83.18756291551597,7789616.55203581,83.18756291551597,1245.2678106556193,128.9971694823529
212.0,90.85136934804872,210296.39386392446,836.4076341750953,414.0587222928199,0.0,5193992.7264782,2594370.561932073,5258732.419013902,0.03998993999077794,0.375,0.03749999999999999,0.1875,15.0,5.451082160882923,3.6340547739219486,14427.757573550556,0.33112344058769877,65734.1470209054,41.820381708754766,8.281174445856397,74.53057001270759,130.32075349546787,104.46368453849429,0.0,25.85706895697359,8000001,0.0,0.0,0.0,0.0,83.64076341750953,7789613.754766742,83.64076341750953,1250.4663564679151,130.32075349546787
213.0,90.09462685274649,210300.01270231474,841.5876895816539,415.0454697516827,0.0,5179706.496713865,2608647.7627976467,5258816.309296164,0.03998999020569729,0.375,0.03749999999999999,0.1875,15.0,5.405677611164789,3.6037850741098594,14388.073601982956,0.33028371618959246,65735.1956493026,42.07938447908269,8.300909395033653,74.70818455530289,131.75046222127668,105.68912911093804,0.0,26.061333110338644,8000001,0.0,0.0,0.0,0.0,84.15876895816538,7789610.892670845,84.15876895816538,1256.6331593333366,131.75046222127668
214.0,89.4318067261641,210303.60312999197,847.4254363804822,416.3535511519373,0.0,5165460.334726585,2622883.851349174,5258900.749868227,0.03999003083206344,0.375,0.03749999999999999,0.1875,15.0,5.365908403569845,3.5772722690465644,14348.50092979607,0.3294512373282015,65736.25115632145,42.37127181902411,8.327071023038746,74.94363920734872,133.28921723051758,107.00306592484114,0.0,26.286151305676434,8000001,0.0,0.0,0.0,0.0,84.74254363804822,7789607.965063292,84.74254363804822,1263.7789875324195,133.28921723051758
215.0,88.86010138540355,210307.16884751644,853.9320056624787,417.98483277264404,0.0,5151254.225934515,2637078.8282781546,5258985.807034556,0.03999006206980139,0.375,0.03749999999999999,0.1875,15.0,5.331606083124213,3.554404055416142,14309.039516484763,0.32862591337882063,65737.31437076765,42.696600283123935,8.359696655452883,75.23726989907593,134.94019432925379,108.40822583223506,0.0,26.53196849701872,8000001,0.0,0.0,0.0,0.0,85.39320056624787,7789604.971051104,85.39320056624787,1271.9168384351228,134.94019432925379
216.0,88.37701323302879,210310.7134493017,861.1200520396666,419.94192249555584,0.0,5137088.156631424,2651232.690931514,5259071.548287386,0.0399900840896126,0.375,0.03749999999999999,0.1875,15.0,5.302620793981728,3.5350805293211516,14269.689323976178,0.3278076555569558,65738.38613629405,43.05600260198333,8.398838449911118,75.58954604920005,136.7068341088971,109.9075565396787,0.0,26.799277569218418,8000001,0.0,0.0,0.0,0.0,86.11200520396666,7789601.909537474,86.11200520396666,1281.0619745352224,136.7068341088971
217.0,87.9803393083605,210314.24043570636,869.003792683715,422.22817522436156,0.0,5122962.114213109,2665345.433043973,5259158.042460982,0.03999009703410462,0.375,0.03749999999999999,0.1875,15.0,5.27882035850163,3.51921357233442,14230.450317258636,0.32699637688525707,65739.46731332886,43.45018963418575,8.444563504487231,76.00107154038508,138.5928534795263,111.5042325561476,0.0,27.0886209233787,8000001,0.0,0.0,0.0,0.0,86.9003792683715,7789598.77922499,86.9003792683715,1291.2319679080765,138.5928534795263
218.0,87.66815753060504,210317.75322454394,877.5990521238925,424.84770112815005,0.0,5108876.087405678,2679417.0444589998,5259245.359890045,0.039990101018778305,0.375,0.03749999999999999,0.1875,15.0,5.260089451836302,3.5067263012242016,14191.322465015772,0.326191992161952,65740.55878105572,43.87995260619463,8.496954022563001,76.47258620306701,140.60225823837024,113.20166599453101,0.0,27.400592243839228,8000001,0.0,0.0,0.0,0.0,87.75990521238926,7789595.5786179295,87.75990521238926,1302.4467532520425,140.60225823837024
219.0,87.43881443616507,210321.25516207158,886.92331298998,427.80537672752297,0.0,5094830.066496472,2693447.510837306,5259333.572572889,0.039990096132879724,0.375,0.03749999999999999,0.1875,15.0,5.246328866169905,3.4975525774466028,14152.305740267977,0.3253944179307793,65741.66143945343,44.346165649499,8.55610753455046,77.00496781095413,142.73935673044372,115.00351827603882,0.0,27.7358384544049,8000001,0.0,0.0,0.0,0.0,88.692331298998,7789592.306023495,88.692331298998,1314.728689717503,142.73935673044372
220.0,87.29091432227345,210324.74953351615,896.995772915297,431.10685885662815,0.0,5080824.0435686335,2707436.8133517588,5259422.754339994,0.03999008244012319,0.375,0.03749999999999999,0.1875,15.0,5.237454859336407,3.4916365728909384,14113.400121023982,0.3246035724524203,65742.7762114029,44.84978864576485,8.622137177132563,77.59923459419306,145.00877466373728,116.91371279130746,0.0,28.095061872429813,8000001,0.0,0.0,0.0,0.0,89.6995772915297,7789588.959552164,89.6995772915297,1328.1026317719252,145.00877466373728
221.0,87.2233097182329,210328.23957319354,907.837407845675,434.75860154929273,0.0,5066858.012740149,2721384.928367549,5259512.981028579,0.0399900599792912,0.375,0.03749999999999999,0.1875,15.0,5.233398583093974,3.488932388729316,14074.605590944859,0.32381937567743396,65743.90404486924,45.39187039228375,8.695172030985855,78.2565482788727,147.41547114713256,118.9364485767864,0.0,28.479022570346146,8000001,0.0,0.0,0.0,0.0,90.7837407845675,7789585.537117093,90.7837407845675,1342.5960093949677,147.41547114713256
222.0,87.23509311410272,210331.72847427023,919.471042032153,438.7678759124531,0.0,5052931.970408327,2735291.8271063482,5259604.330663818,0.03999002876471587,0.375,0.03749999999999999,0.1875,15.0,5.234105586846163,3.4894037245641094,14035.92214002313,0.3230417492206976,65745.045915167,45.97355210160765,8.775357518249063,78.97821766424155,149.9647560253532,121.07621507010143,0.0,28.888540955251774,8000001,0.0,0.0,0.0,0.0,91.9471042032153,7789582.03643262,91.9471042032153,1358.238917944606,149.9647560253532
223.0,87.32558988470281,210335.219398219,931.921425018572,443.1427930653649,0.0,5039045.915500657,2749157.4752931558,5259696.883647398,0.0399899887866465,0.375,0.03749999999999999,0.1875,15.0,5.239535393082169,3.493023595388112,13997.349765279601,0.32227061633736337,65746.20282731713,46.5960712509286,8.862855861307299,79.76570275176569,152.66230859182204,123.33780801356653,0.0,29.32450057825551,8000001,0.0,0.0,0.0,0.0,93.1921425018572,7789578.455011897,93.1921425018572,1375.0642180839368,152.66230859182204
224.0,87.49435235436617,210338.71548401366,945.2153159702765,447.8923302386662,0.0,5025199.849732997,2762981.8327844315,5259790.722954139,0.03998994001150635,0.375,0.03749999999999999,0.1875,15.0,5.24966114126197,3.499774094174647,13958.888471480546,0.32150590190034023,65747.37581850476,47.26076579851382,8.957846604773325,80.62061944295992,155.51419776730532,125.72634658088027,0.0,29.78785118642504,8000001,0.0,0.0,0.0,0.0,94.52153159702765,7789574.790163637,94.52153159702765,1393.1076462089427,155.51419776730532
225.0,87.74115495501023,210342.21985710826,959.3815757270276,453.0263601434075,0.0,5011393.777876079,2776764.853175995,5259885.934337412,0.03998988238204163,0.375,0.03749999999999999,0.1875,15.0,5.2644692973006135,3.5096461982004095,13920.538271877998,0.3207475323793176,65748.56596064691,47.969078786351375,9.06052720286815,81.54474482581335,158.52690383972742,128.24729180832708,0.0,30.279612031400344,8000001,0.0,0.0,0.0,0.0,95.93815757270275,7789571.038987944,95.93815757270275,1412.407935870435,158.52690383972742
226.0,88.06599043687072,210345.73563824297,974.4512670022307,458.5556837367264,0.0,4997627.7080314355,2790506.483389156,5259982.606544191,0.03998981581736449,0.375,0.03749999999999999,0.1875,15.0,5.283959426212244,3.522639617474829,13882.299188976209,0.319995435821343,65749.77436308059,48.722563350111535,9.171113674734528,82.54002307261075,161.70734186858726,130.90646641855682,0.0,30.80087545003045,8000001,0.0,0.0,0.0,0.0,97.44512670022307,7789567.19837133,97.44512670022307,1433.0069507389571,161.70734186858726
227.0,88.46906709768724,210349.26595211896,990.4577631918488,464.4920665280555,0.0,4983901.651917731,2804206.663233338,5260080.83154049,0.03998974021289235,0.375,0.03749999999999999,0.1875,15.0,5.3081440258612345,3.53876268390749,13844.171255327032,0.3192495418329826,65751.00217538084,49.52288815959244,9.28984133056111,83.60857197505,165.06288686603557,133.71007613226342,0.0,31.35281073377213,8000001,0.0,0.0,0.0,0.0,99.04577631918488,7789563.264980789,99.04577631918488,1454.9498297199043,165.06288686603557
228.0,88.95080700229866,210352.81393598227,1007.4368663002509,470.8482785876853,0.0,4970215.6251687175,2817865.324943418,5260180.704748177,0.0399896554401837,0.375,0.03749999999999999,0.1875,15.0,5.337048420137919,3.558032280091947,13806.154514357548,0.31850978156408294,65752.2505903209,50.37184331501255,9.416965571753707,84.75269014578336,168.60140087594178,136.6647325708795,0.0,31.936668305062277,8000001,0.0,0.0,0.0,0.0,100.7436866300251,7789559.235257024,100.7436866300251,1478.2851448879362,168.60140087594178
229.0,89.51184517053844,210356.38274815548,1025.4269345369094,477.6381384383104,0.0,4956569.647643876,2831482.392689833,5260282.325294043,0.03998956134667103,0.375,0.03749999999999999,0.1875,15.0,5.370710710232306,3.580473806821538,13768.24902123299,0.3177760876931674,65753.52084698544,51.271346726845465,9.55276276876621,85.97486491889588,172.3312620822436,139.77747786179157,0.0,32.55378422045203,8000001,0.0,0.0,0.0,0.0,102.54269345369093,7789555.105406685,102.54269345369093,1503.0650729752197,172.3312620822436
