,Critical Cases,Switzerland
164.0,2553.3790688207077,
165.0,3137.9177561373444,
166.0,3847.53786204806,
167.0,4704.90165637622,
168.0,5734.968567811404,
169.0,6964.461268974756,
170.0,8420.985287817173,
171.0,10131.764720746685,
172.0,12122.003189144503,
173.0,14412.944069404915,
174.0,17019.77713278007,
175.0,19949.602860276726,
176.0,23199.700972385566,
177.0,26756.340890563813,
178.0,30594.315282448286,
179.0,34677.28421146641,
180.0,38958.90833481728,
181.0,43384.64979260288,
182.0,47894.04842856393,
183.0,52423.24807864987,
184.0,56907.551541631634,
185.0,61283.8147038578,
186.0,65492.538232144936,
187.0,69479.56801311932,
188.0,73197.36463890126,
189.0,76605.8426764298,
190.0,79672.81019477268,
191.0,82374.05821580107,
192.0,84693.15982617562,
193.0,86621.04161796745,
194.0,88155.38794351809,
195.0,89299.9329873466,
196.0,90063.6883402715,
197.0,90460.14570953423,
198.0,90506.48638326842,
199.0,90222.82158397979,
200.0,89631.48117826054,
201.0,88756.36248928677,
202.0,87622.34620935151,
203.0,86254.78258812941,
204.0,84679.04809482764,
205.0,82920.17051510671,
206.0,81002.51883658831,
207.0,78949.55319238969,
208.0,76783.62947076537,
209.0,74525.85287160252,
210.0,72195.97462001117,
211.0,69812.3261681946,
212.0,67391.78547496855,
213.0,64949.770303630095,
214.0,62500.25388821848,
215.0,60055.79875808976,
216.0,57627.60496017833,
217.0,55225.569361753965,
218.0,52858.35314271495,
219.0,50533.45498782939,
220.0,48257.287860987395,
221.0,46035.25758276347,
222.0,43871.84173837153,
223.0,41770.66771561395,
224.0,39734.58891275261,
225.0,37765.75836604911,
226.0,35865.69922811274,
227.0,34035.371683466095,
228.0,32275.236019299482,
229.0,30585.311679652114,
230.0,28965.23222258719,
231.0,27414.296174561958,
232.0,25931.51383624008,
233.0,24515.65014139521,
234.0,23165.2637070886,
235.0,21878.74224057314,
236.0,20654.334487820626,
237.0,19490.178921461127,
238.0,18384.329373389373,
239.0,17334.777820313953,
240.0,16339.474529954266,
241.0,15396.345772163791,
242.0,14503.309293604312,
243.0,13658.287747250097,
244.0,12859.220259414154,
245.0,12104.072307537765,
246.0,11390.844071981555,
247.0,10717.577414758967,
248.0,10082.361627767148,
249.0,9483.338082764381,
250.0,8918.703905246122,
251.0,8386.714784585292,
252.0,7885.6870234017815,
253.0,7413.99892016464,
254.0,6970.091570545937,
255.0,6552.469165058547,
256.0,6159.698853032654,
257.0,5790.410236017991,
258.0,5443.294547234252,
259.0,5117.103567718842,
260.0,4810.648324321918,
261.0,4522.797609653976,
262.0,4252.476359478846,
263.0,3998.663918840804,
264.0,3760.3922243946267,
265.0,3536.7439269465094,
266.0,3326.8504750874445,
267.0,3129.890177984518,
268.0,2945.0862628661216,
269.0,2771.704940471517,
270.0,2609.053489712052,
271.0,2456.4783709897165,
272.0,2313.3633760196867,
273.0,2179.1278205883264,
274.0,2053.2247854302805,
275.0,1935.1394093114818,
276.0,1824.3872374448674,
277.0,1720.5126275285236,
278.0,1623.0872149694296,
279.0,1531.7084382285666,
280.0,1445.9981246842992,
281.0,1365.6011369511557,
282.0,1290.1840792015182,
283.0,1219.434062710642,
284.0,1153.057529573316,
285.0,1090.7791333171797,
286.0,1032.3406749570852,
287.0,977.5000928918857,
288.0,926.0305049346592,
289.0,877.7193006856045,
290.0,832.3672823996744,
291.0,789.7878524651791,
292.0,749.8062455919525,
293.0,712.2588038056435,
294.0,676.9922923557681,
295.0,643.86325466732,
296.0,612.7374044970724,
297.0,583.4890534945774,
298.0,556.000572412846,
299.0,530.1618842635254,
300.0,505.8699877649631,
301.0,483.02850948791644,
302.0,461.54728316202414,
303.0,441.34195466575875,
304.0,422.33361128285526,
305.0,404.4484338686295,
306.0,387.61737062971883,
307.0,371.77583128024315,
308.0,356.86340039588544,
309.0,342.8235688446831,
310.0,329.60348222919856,
311.0,317.15370532903876,
312.0,305.4280015853089,
313.0,294.38312671939815,
314.0,283.9786356274689,
315.0,274.17670173908164,
316.0,264.94194807355393,
317.0,256.2412892708667,
318.0,248.04378391525802,
319.0,240.3204965090648,
320.0,233.04436849193064,
321.0,226.19009773624174,
322.0,219.73402598361238,
323.0,213.65403371947616,
324.0,207.92944201340572,
325.0,202.5409208817311,
326.0,197.47040375642823,
327.0,192.70100767014992,
328.0,188.21695879175095,
329.0,184.00352296976385,
330.0,180.0469409630841,
331.0,176.33436805868217,
332.0,172.85381779553302,
333.0,169.59410953220174,
334.0,166.54481961270744,
335.0,163.69623590145798,
336.0,161.03931547326232,
337.0,158.56564525873924,
338.0,156.26740545889882,
339.0,154.13733555532545,
340.0,152.1687027542898,
341.0,150.3552727142985,
342.0,148.6912824171086,
343.0,147.17141505211566,
344.0,145.7907767933267,
345.0,144.5448753568735,
346.0,143.42960023525364,
347.0,142.44120451223534,
348.0,141.5762881696661,
349.0,140.83178280430377,
350.0,140.2049376792871,
351.0,139.69330704099553,
352.0,139.2947386378468,
353.0,139.00736338307476,
354.0,138.82958610873476,
355.0,138.76007736313463,
356.0,138.79776620858954,
357.0,138.94183398089527,
358.0,139.19170897619884,
359.0,139.54706203506183,
360.0,140.00780299745887,
