,Diseased,Switzerland
164.0,427.38004191435294,
165.0,528.042376963911,
166.0,651.6777324169083,
167.0,803.1690474428312,
168.0,988.2700553616367,
169.0,1213.6881467594535,
170.0,1487.1450302374801,
171.0,1817.402204239724,
172.0,2214.237287301703,
173.0,2688.3581242978653,
174.0,3251.2448501801036,
175.0,3914.9158810788426,
176.0,4691.621615781121,
177.0,5593.4783187151115,
178.0,6632.062649135709,
179.0,7817.993037258427,
180.0,9160.5264874755,
181.0,10667.198074443157,
182.0,12343.525844855269,
183.0,14192.797077316372,
184.0,16215.9441510768,
185.0,18411.510807854702,
186.0,20775.703232088203,
187.0,23302.515614436452,
188.0,25983.91684051885,
189.0,28810.083540042502,
190.0,31769.664663464828,
191.0,34850.06368365869,
192.0,38037.72611103471,
193.0,41318.42196688862,
194.0,44677.51494613646,
195.0,48100.212044818756,
196.0,51571.789314694695,
197.0,55077.79106907529,
198.0,58604.20126927934,
199.0,62137.58696444088,
200.0,65665.214551095,
201.0,69175.1402859835,
202.0,72656.27695439469,
203.0,76098.43889756956,
204.0,79492.36776624431,
205.0,82829.74142117707,
206.0,86103.16837054963,
207.0,89306.17004016247,
208.0,92433.15303374921,
209.0,95479.37337269899,
210.0,98440.89451925839,
211.0,101314.54079454081,
212.0,104097.84760982294,
213.0,106789.00974216204,
214.0,109386.82870726689,
215.0,111890.66011645348,
216.0,114300.36175203856,
217.0,116616.24295750204,
218.0,118839.01581537968,
219.0,120969.74847689469,
220.0,123009.82091220486,
221.0,124960.88326803196,
222.0,126824.81694939363,
223.0,128603.69848314051,
224.0,130299.76617195176,
225.0,131915.38950729376,
226.0,133453.04127758072,
227.0,134915.27228241324,
228.0,136304.68854439654,
229.0,137623.93089582483,
230.0,138875.65680768437,
231.0,140062.5243222926,
232.0,141187.17794784054,
233.0,142252.23637258195,
234.0,143260.28185795242,
235.0,144213.85117307413,
236.0,145115.42793755454,
237.0,145967.4362449028,
238.0,146772.23544501464,
239.0,147532.1159707752,
240.0,148249.29610073596,
241.0,148925.91955686346,
242.0,149564.05384342358,
243.0,150165.68924004806,
244.0,150732.73836884988,
245.0,151267.0362620569,
246.0,151770.34086295922,
247.0,152244.33389900127,
248.0,152690.622071548,
249.0,153110.73851222647,
250.0,153506.14446076626,
251.0,153878.2311239399,
252.0,154228.32167954574,
253.0,154557.67339338263,
254.0,154867.47982085374,
255.0,155158.8730682189,
256.0,155432.9260915989,
257.0,155690.65501465078,
258.0,155933.02144838322,
259.0,156160.9347988844,
260.0,156375.25455082068,
261.0,156576.79251642758,
262.0,156766.31504139124,
263.0,156944.54516051104,
264.0,157112.1646973624,
265.0,157269.8163033556,
266.0,157418.10543262624,
267.0,157557.60225010486,
268.0,157688.84347091365,
269.0,157812.33412993353,
270.0,157928.54928098794,
271.0,158037.93562560756,
272.0,158140.91307178684,
273.0,158237.87622351444,
274.0,158329.19580218388,
275.0,158415.22000124498,
276.0,158496.27577567857,
277.0,158572.6700680487,
278.0,158644.69097302278,
279.0,158712.60884235523,
280.0,158776.677332408,
281.0,158837.13439632862,
282.0,158894.2032230433,
283.0,158948.09312522845,
284.0,158999.0003784251,
285.0,159047.10901344003,
286.0,159092.59156415245,
287.0,159135.60977280608,
288.0,159176.31525482135,
289.0,159214.8501251097,
290.0,159251.34758782026,
291.0,159285.9324913824,
292.0,159318.72185064998,
293.0,159349.8253378839,
294.0,159379.3457442474,
295.0,159407.3794134166,
296.0,159434.01664884554,
297.0,159459.34209615557,
298.0,159483.43510205485,
299.0,159506.37005112597,
300.0,159528.2166817581,
301.0,159549.0403824373,
302.0,159568.9024695478,
303.0,159587.8604477767,
304.0,159605.9682541624,
305.0,159623.27648676574,
306.0,159639.83261889734,
307.0,159655.6811997769,
308.0,159670.8640424573,
309.0,159685.42039979761,
310.0,159699.38712922359,
311.0,159712.79884697587,
312.0,159725.68807250098,
313.0,159738.08536360573,
314.0,159750.0194429572,
315.0,159761.51731647732,
316.0,159772.60438414777,
317.0,159783.30454370857,
318.0,159793.64028770739,
319.0,159803.6327943261,
320.0,159813.3020123878,
321.0,159822.66674091824,
322.0,159831.7447036182,
323.0,159840.55261857735,
324.0,159849.1062635398,
325.0,159857.42053701467,
326.0,159865.50951550278,
327.0,159873.3865070981,
328.0,159881.06410170184,
329.0,159888.55421807495,
330.0,159895.8681479394,
331.0,159903.0165973265,
332.0,159910.00972535502,
333.0,159916.8571806135,
334.0,159923.56813530947,
335.0,159930.1513173364,
336.0,159936.61504039954,
337.0,159942.9672323374,
338.0,159949.21546176015,
339.0,159955.3669631231,
340.0,159961.42866034637,
341.0,159967.4071890818,
342.0,159973.30891772473,
343.0,159979.139967261,
344.0,159984.90623003387,
345.0,159990.61338751137,
346.0,159996.2669271297,
347.0,160001.87215828215,
348.0,160007.43422752098,
349.0,160012.95813303662,
350.0,160018.4487384709,
351.0,160023.91078612139,
352.0,160029.34890959234,
353.0,160034.76764593914,
354.0,160040.17144735638,
355.0,160045.56469245502,
356.0,160050.95169717193,
357.0,160056.33672535256,
358.0,160061.7239990489,
359.0,160067.1177085685,
360.0,160072.52202231466,
