,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered,total infected,accumulated cases,critical cases recovery rate,death rate,deimmunization rate,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,isolated critical case rate,symptomatic rate,new cases,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,fraction of symptomatic,non controlled population,incidence per 100000,case fatality rate,total infection rate,contacts per person symptomatic self,init total population,first infection
186.0,25961.118752058235,10184.321844941796,1359.5027222655126,157519.84019627934,3607618.2892996557,0.0,4197356.927184889,36145.44059700003,3961775.3539745687,81.57016333593074,54.38010889062051,11659.324797735802,1298.0559376029119,203.68643689883592,1833.1779320895234,5357.734464686776,4479.1655547358105,0.0,878.5689099509657,0.0,0.0,0.0,0.0,2596.1118752058237,2596.1118752058237,0.375,0.03749999999999999,0.1875,0.2817595159093749,7841120.657081544,49522.191924682105,0.03975991219144994,5357.734464686776,15.0,8000000,0
187.0,27470.214031863354,10760.902398022876,1429.450369115609,157575.58228809605,3613752.646879067,0.0,4189011.204033925,38231.11642988623,3964444.963291569,85.76702214693654,57.17801476462436,11636.14223342757,1373.5107015931676,215.21804796045754,1936.9624316441175,5677.57243775728,4747.670372897573,0.0,929.9020648597068,0.0,0.0,0.0,0.0,2747.021403186335,2747.021403186335,0.375,0.03749999999999999,0.1875,0.281469739910886,7840994.967342879,49555.562041144614,0.039747198850571354,5677.57243775728,15.0,8000000,0
188.0,29075.656484719886,11374.193854539373,1504.0649442802303,157634.2132749407,3619534.3581944853,0.0,4180877.513247123,40449.85033925926,3967270.175170849,90.24389665681382,60.16259777120921,11613.548647908676,1453.7828242359942,227.48387709078747,2047.3548938170873,6017.752806937047,5033.26394635109,0.0,984.4888605859571,0.0,0.0,0.0,0.0,2907.5656484719884,2907.5656484719884,0.375,0.03749999999999999,0.1875,0.2811924830164319,7840861.721780867,49590.87718963561,0.03973367235271599,6017.752806937047,15.0,8000000,0
189.0,30783.48887816646,12026.55372520809,1583.623485088462,157695.92522333225,3624943.0906445417,0.0,4172967.318043756,42810.042603374546,3970260.919159389,95.01740910530772,63.34493940353849,11591.575883454878,1539.174443908323,240.53107450416184,2164.7796705374562,6379.492606516373,5336.964696423065,0.0,1042.5279100933071,0.0,0.0,0.0,0.0,3078.348887816646,3078.348887816646,0.375,0.03749999999999999,0.1875,0.2809283288183433,7840720.451291672,49628.26148949237,0.039719285063189426,6379.492606516373,15.0,8000000,0
190.0,32600.066831427735,12720.474448401805,1668.4228278766807,157760.9216686804,3629957.302148028,0.0,4165292.8120756783,45320.541279829544,3973427.7444441696,100.10536967260084,66.73691311506722,11570.257811321328,1630.0033415713867,254.4094889680361,2289.6854007123247,6764.0599652032315,5659.832803218407,0.0,1104.227161984824,0.0,0.0,0.0,0.0,3260.0066831427735,3260.0066831427735,0.375,0.03749999999999999,0.1875,0.2806779020987379,7840570.655503536,49667.846805552115,0.03970398653637757,6764.0599652032315,15.0,8000000,0
191.0,34532.0618312347,13458.587450204928,1758.7803318995889,157829.41842146876,3634554.193030312,0.0,4157866.9589349716,47990.649281439626,3976781.851305909,105.52681991397533,70.35121327598355,11549.630441486031,1726.603091561735,269.1717490040986,2422.545741036887,7172.772137916591,6002.9683375211225,0.0,1169.8038003954687,0.0,0.0,0.0,0.0,3453.20618312347,3453.20618312347,0.375,0.03749999999999999,0.1875,0.2804418704835076,7840411.801246723,49709.77314132386,0.039687723471590525,7172.772137916591,15.0,8000000,0
192.0,36586.46157718681,14243.666621774444,1855.0346063150162,157901.6444024931,3638709.660429243,0.0,4150703.53236308,50830.128198961254,3980335.122747243,111.30207637890096,74.20138425260066,11529.732034341889,1829.3230788593405,284.8733324354889,2563.8599919194,7606.992618343408,6367.508589883324,0.0,1239.484028460084,0.0,0.0,0.0,0.0,3658.646157718681,3658.646157718681,0.375,0.03749999999999999,0.1875,0.28022094624710236,7840243.320991284,49754.18903434053,0.03967043968235237,7606.992618343408,15.0,8000000,0
193.0,38770.56710537525,15078.631052447001,1957.546227347373,157977.84250703437,3642398.256213888,0.0,4143817.156893999,53849.198157822255,3984100.156001769,117.45277364084237,78.30184909389492,11510.60321359444,1938.5283552687627,301.57262104894005,2714.15358944046,8068.1271826074935,6754.624468310535,0.0,1313.5027142969586,0.0,0.0,0.0,0.0,3877.0567105375253,3877.0567105375253,0.375,0.03749999999999999,0.1875,0.2800158882264925,7840064.61126571,49801.25195002211,0.03965207608273898,8068.1271826074935,15.0,8000000,0
194.0,41091.98607012073,15966.546833172353,2066.6984306614304,158058.27049728125,3645593.149565207,0.0,4137223.348603649,57058.53290329308,3988090.293571805,124.0019058396858,82.66793722645721,11492.287079454582,2054.5993035060364,319.33093666344706,2873.9784299710236,8557.618700336294,7165.515824177671,0.0,1392.102876158624,0.0,0.0,0.0,0.0,4109.198607012073,4109.198607012073,0.375,0.03749999999999999,0.1875,0.2798275038061986,7839875.031072149,49851.128669647565,0.03963257069481279,8557.618700336294,15.0,8000000,0
195.0,43558.621491543665,16910.627718914475,2182.897761627882,158143.20192168216,3648266.0955371354,0.0,4130938.5555691873,60469.24921045814,3992319.6533772377,130.97386569767292,87.3159104651153,11474.82932102552,2177.931074577183,338.2125543782895,3043.9129894046055,9076.940535858066,7601.405554772789,0.0,1475.5349810852765,0.0,0.0,0.0,0.0,4355.862149154366,4355.862149154366,0.375,0.03749999999999999,0.1875,0.2796566509377098,7839673.90031678,49903.99566721547,0.03961185868168234,9076.940535858066,15.0,8000000,0
196.0,46178.65520247502,17914.23441077775,2306.574663522872,158232.92705915731,3650387.4110989776,0.0,4124980.197565182,64092.88961325277,3996803.157524929,138.39447981137232,92.26298654091488,11458.27832656995,2308.932760123751,358.28468821555504,3224.562193939995,9627.588349818987,8063.532320701573,0.0,1564.056029117415,0.0,0.0,0.0,0.0,4617.865520247502,4617.865520247502,0.375,0.03749999999999999,0.1875,0.27950424015636116,7839460.498277413,49960.039469061616,0.03958987241121603,9627.588349818987,15.0,8000000,0
197.0,48960.525153599534,18980.87218902493,2438.1839807679185,158327.753885246,3651925.960353561,0.0,4119366.7044378947,67941.39734262446,4001556.559127846,146.29103884607508,97.52735923071674,11442.685290105263,2448.026257679977,379.6174437804986,3416.5569940244873,10211.070100936473,8553.141707968347,0.0,1657.928392968126,0.0,0.0,0.0,0.0,4896.052515359954,4896.052515359954,0.375,0.03749999999999999,0.1875,0.27937123655708035,7839234.062134081,50019.45698909808,0.039566541555957443,10211.070100936473,15.0,8000000,0
198.0,51912.895662918825,20114.18659722552,2578.2053510833966,158428.00905629122,3652849.150828428,0.0,4114117.552504149,72027.08226014435,4006596.4665153297,154.6923210650038,103.12821404333587,11428.104312511525,2595.6447831459413,402.28373194451035,3620.553587500593,10828.894039836021,9071.475658705962,0.0,1757.4183811300597,0.0,0.0,0.0,0.0,5191.289566291883,5191.289566291883,0.375,0.03749999999999999,0.1875,0.2792586616875296,7838993.785592722,50082.45583144162,0.03954179323531459,10828.894039836021,15.0,8000000,0
199.0,55044.61962749569,21317.956846044603,2727.14345690576,158534.03890664302,3653122.9429456084,0.0,4109253.2982173944,76362.57647354029,4011940.364081169,163.6286074143456,109.0857382762304,11414.592495048319,2752.2309813747843,426.35913692089207,3837.232232288029,11482.554483081676,9619.759992249668,0.0,1862.7944908320083,0.0,0.0,0.0,0.0,5504.461962749569,5504.461962749569,0.375,0.03749999999999999,0.1875,0.27916759531327884,7838738.817636543,50149.25455101461,0.03951555220660692,11482.554483081676,15.0,8000000,0
200.0,58364.69165560741,22596.08657338078,2885.5281026247153,158646.21045260888,3652711.874985029,0.0,4104795.608230842,80960.77822898819,4017606.628914838,173.1316861574829,115.42112410498862,11402.21002286345,2918.23458278037,451.9217314676156,4067.2955832085404,12173.515156937767,10199.189840709694,0.0,1974.325316228072,0.0,0.0,0.0,0.0,5836.46916556074,5836.46916556074,0.375,0.03749999999999999,0.1875,0.2790991770048253,7838468.261444859,50220.082861435476,0.039487741112040994,12173.515156937767,15.0,8000000,0
201.0,61882.191030336784,23952.591566654937,3053.914080165152,158764.91239545698,3651579.106060992,0.0,4100767.284866487,85834.78259699172,4023614.542254714,183.23484480990913,122.15656320660608,11391.020235740241,3094.109551516839,479.05183133309873,4311.466481997889,12903.189908634724,10810.912831741427,0.0,2092.2770768932974,0.0,0.0,0.0,0.0,6188.219103033678,6188.219103033678,0.375,0.03749999999999999,0.1875,0.27905460749072153,7838181.173524471,50295.18177818393,0.03945828078911601,12903.189908634724,15.0,8000000,0
202.0,65606.21338662817,25391.58402427132,3232.8807812204345,158890.55611420184,3649686.479823088,0.0,4097192.285870685,90997.79741089948,4029984.294691504,193.97284687322605,129.31523124881738,11381.089682974125,3280.3106693314085,507.8316804854265,4570.485124368837,13672.920599701125,11456.009867361297,0.0,2216.910732339828,0.0,0.0,0.0,0.0,6560.621338662817,6560.621338662817,0.375,0.03749999999999999,0.1875,0.27903514971484333,7837876.563104672,50374.8036836438,0.039427090652313555,13672.920599701125,15.0,8000000,0
203.0,69545.78997924244,26917.252908160062,3423.0315101113306,159023.57663714667,3646994.611762488,0.0,4094095.7372029442,96463.04288740251,4036736.9839379247,205.38189060667983,136.92126040445322,11372.488158897067,3477.2894989621223,538.3450581632012,4845.105523468812,14483.952023192523,12135.473373076893,0.0,2348.478650115631,0.0,0.0,0.0,0.0,6954.5789979242445,6954.5789979242445,0.375,0.03749999999999999,0.1875,0.2790421295291245,7837553.391852834,50459.212299224055,0.039394089154160275,14483.952023192523,15.0,8000000,0
204.0,73709.7934461674,28533.839919745842,3624.992446896356,159164.43357922812,3643463.003140682,0.0,4091503.937467373,102243.63336591324,4043894.6038693935,217.49954681378136,144.99969787585422,11365.288715187147,3685.4896723083702,570.6767983949169,5136.091185554252,15337.403726458338,12850.18292806677,0.0,2487.2207983915678,0.0,0.0,0.0,0.0,7370.9793446167405,7370.9793446167405,0.375,0.03749999999999999,0.1875,0.2790769359460055,7837210.573973969,50548.68254836742,0.039359194333831525,15337.403726458338,15.0,8000000,0
205.0,78106.82903910175,30245.61061991425,3839.4112061228125,159313.61203011379,3639050.1846464733,0.0,4089444.352458366,108352.439659016,4051480.023433969,230.36467236736877,153.5764482449125,11359.567645717683,3905.3414519550875,604.912212398285,5444.209911584565,16234.23867556631,13600.878236472796,0.0,2633.3604390935147,0.0,0.0,0.0,0.0,7810.682903910175,7810.682903910175,0.375,0.03749999999999999,0.1875,0.2791410208676138,7836846.976763856,50643.50029292461,0.03932232446134145,16234.23867556631,15.0,8000000,0
206.0,82745.11040869255,32056.820212191316,4066.9549326452475,159471.62337573795,3633713.89291295,0.0,4087945.598157875,114801.93062088387,4059516.9539320744,244.01729595871484,162.6781973058099,11355.40443932743,4137.255520434627,641.1364042438264,5770.2276381944375,17175.228768737445,14388.129463816751,0.0,2787.0993049206945,0.0,0.0,0.0,0.0,8274.511040869254,8274.511040869254,0.375,0.03749999999999999,0.1875,0.279235898201522,7836461.421691708,50743.96192415093,0.03928339878498911,17175.228768737445,15.0,8000000,0
207.0,87632.31920692172,33971.67352040865,4308.3078724499555,159639.00603354527,3627411.2829713686,0.0,4087037.4103953936,121603.99272733036,4068029.9030835223,258.49847234699735,172.33231489799823,11352.88169554276,4381.615960346086,679.4334704081731,6114.901233673557,18160.917296038388,15212.30504270244,0.0,2948.6122533359503,0.0,0.0,0.0,0.0,8763.231920692171,8763.231920692171,0.375,0.03749999999999999,0.1875,0.27936314226608083,7836052.686094092,50850.373788544035,0.03924233838904199,18160.917296038388,15.0,8000000,0
208.0,92775.44801233424,35994.278720946575,4564.168353652039,159816.3260791756,3620099.179564069,0.0,4086750.5992699084,128769.72673328081,4077044.114236838,273.85010121912234,182.56673414608156,11352.084997971968,4638.772400616712,719.8855744189316,6478.970169770384,19191.57855267081,16073.537149544081,0.0,3118.0414031267273,0.0,0.0,0.0,0.0,9277.544801233424,9277.544801233424,0.375,0.03749999999999999,0.1875,0.279524385382141,7835619.505567258,50963.05142796048,0.03919906716758468,19191.57855267081,15.0,8000000,0
209.0,98180.62640539206,38128.594438861444,4835.24511106086,160004.17773968814,3611734.3699629554,0.0,4087116.986342127,136309.2208442535,4086585.4890416535,290.1147066636516,193.40980444243442,11353.102739839242,4909.031320269603,762.5718887772289,6863.146998995061,20267.1749444311,16971.685169750308,0.0,3295.489774680791,0.0,0.0,0.0,0.0,9818.062640539207,9818.062640539207,0.375,0.03749999999999999,0.1875,0.27972131454281485,7835160.577149335,51082.318613020674,0.039153512918974995,20267.1749444311,15.0,8000000,0
210.0,103852.93042997265,40378.3698906374,5122.2528872698285,160203.18372574786,3602273.9405226265,0.0,4088169.3225438306,144231.30032061005,4096680.4919070136,307.3351732361897,204.89011549079314,11356.025895955085,5192.646521498633,807.567397812748,7268.106580314731,21387.31207636174,17906.297602475024,0.0,3481.014473886718,0.0,0.0,0.0,0.0,10385.293042997266,10385.293042997266,0.375,0.03749999999999999,0.1875,0.2799556670492521,7834674.563387067,51208.506148837674,0.03910560856337931,21387.31207636174,15.0,8000000,0
211.0,109796.17618006244,42747.07785781186,5425.907244488542,160413.99537253173,3591675.658617116,0.0,4089941.184728074,152543.25403787429,4107356.034615975,325.5544346693125,217.03628977954173,11360.947735355761,5489.8088090031215,854.9415571562373,7694.474014406136,22551.192488170982,18876.573006541734,0.0,3674.619481629248,0.0,0.0,0.0,0.0,10979.617618006243,10979.617618006243,0.375,0.03749999999999999,0.1875,0.2802292249986904,7834160.097383064,51341.95043269969,0.03905529348334906,22551.192488170982,15.0,8000000,0
212.0,116012.69885247156,45237.84040900541,5746.918524708124,160637.29255654122,3579898.4008476227,0.0,4092466.8488097354,161250.53926147695,4118639.3395696003,344.8151114824874,229.876740988325,11367.963468915932,5800.634942623577,904.7568081801082,8142.811273620975,23757.568890042916,19881.320753923188,0.0,3876.2481361197283,0.0,0.0,0.0,0.0,11601.269885247155,11601.269885247155,0.375,0.03749999999999999,0.1875,0.2805438085118566,7833615.788918835,51482.99174462,0.039002514984312245,23757.568890042916,15.0,8000000,0
213.0,122503.11930746539,47853.34745619138,6085.984901709879,160873.78335311648,3566902.627450339,0.0,4095781.1375312633,170356.46676365676,4130557.7803011863,365.1590941025927,243.43939606839518,11377.16982647573,6125.155965373269,957.0669491238277,8613.602542114448,25004.697955533466,20918.922532042045,0.0,4085.7754234914205,0.0,0.0,0.0,0.0,12250.311930746539,12250.311930746539,0.375,0.03749999999999999,0.1875,0.2809012675907425,7833040.231745259,51631.97225376483,0.038947229868162285,25004.697955533466,15.0,8000000,0
214.0,129266.1009749131,50595.76843685457,6443.784477342964,161124.2033973564,3552650.9016685723,0.0,4099919.2410450447,179861.86941176766,4143138.6981441774,386.6270686405778,257.7513790937186,11388.664558458458,6463.305048745655,1011.9153687370914,9107.238318633823,26290.295937736613,21987.295715083797,0.0,4303.000222652814,0.0,0.0,0.0,0.0,12926.61009749131,12926.61009749131,0.375,0.03749999999999999,0.1875,0.2813034725054641,7832432.012125385,51789.23372680222,0.03888940610883441,26290.295937736613,15.0,8000000,0
215.0,136298.10082263683,53466.6576583262,6820.966386852806,161389.3149094723,3537108.4514799775,0.0,4104916.5087428186,189764.75848096304,4156409.194263646,409.2579832111684,272.8386554741122,11402.545857618941,6814.905041131841,1069.333153166524,9623.998378498716,27611.497581823864,23083.859899341027,0.0,4527.637682482838,0.0,0.0,0.0,0.0,13629.810082263682,13629.810082263682,0.375,0.03749999999999999,0.1875,0.2817523026209838,7831789.718703759,51955.114928295574,0.038829024613892524,27611.497581823864,15.0,8000000,0
216.0,143593.11904689492,56466.85412374364,7218.140894249823,161669.90534450358,3520243.7694960446,0.0,4110808.2110946462,200059.97317063855,4170395.8966788175,433.0884536549894,288.7256357699929,11418.911697485128,7179.655952344746,1129.337082474873,10164.033742273856,28964.81999993409,24205.508058048636,0.0,4759.311941885454,0.0,0.0,0.0,0.0,14359.311904689492,14359.311904689492,0.375,0.03749999999999999,0.1875,0.28224963359152794,7831111.95376133,52129.948708485215,0.03876608105078293,28964.81999993409,15.0,8000000,0
217.0,151142.4531240203,59596.376978361135,7635.868479115887,161966.78562594924,3502029.2450979766,0.0,4117629.2706946596,210738.83010238144,4185124.702418235,458.1521087469532,305.4347391646355,11437.859085262944,7557.122656201015,1191.9275395672228,10727.347856105003,30346.13333934495,25348.58390489199,0.0,4997.549434452959,0.0,0.0,0.0,0.0,15114.24531240203,15114.24531240203,0.375,0.03749999999999999,0.1875,0.2827973228730934,7830397.3458950175,52314.05878022793,0.03870058771065104,30346.13333934495,15.0,8000000,0
218.0,158934.46283885656,62854.318065338804,8074.647941098274,162280.78792339706,3482441.8209767123,0.0,4125413.9622546793,221788.78090419536,4200620.495561236,484.4788764658964,322.985917643931,11459.48322848522,7946.723141942828,1257.0863613067763,11313.777251760985,31750.64019592946,26508.867148313944,0.0,5241.773047615514,0.0,0.0,0.0,0.0,15893.446283885656,15893.446283885656,0.375,0.03749999999999999,0.1875,0.28339719353292975,7829644.564135587,52507.756194515445,0.03863257537663256,31750.64019592946,15.0,8000000,0
219.0,166954.3538312445,66238.7334536233,8534.903577735919,162612.76293585188,3461463.6642577006,0.0,4134195.5819439245,233193.08728486777,4216906.842627264,512.0942146641551,341.39614310943676,11483.876616510901,8347.717691562224,1324.774669072466,11922.972021652193,33172.865784665155,27681.56835571159,0.0,5491.297428953566,0.0,0.0,0.0,0.0,16695.435383124448,16695.435383124448,0.375,0.03749999999999999,0.1875,0.28405101636956465,7828852.333486494,52711.3355328408,0.03856209515753473,33172.865784665155,15.0,8000000,0
220.0,175183.98801811357,69746.53618565765,9016.97152510411,162963.57664533376,3439082.8403836773,0.0,4144006.0872421945,244930.5242037712,4234005.6675700275,541.0182915062467,360.67886100416445,11511.128020117207,8759.199400905678,1394.930723713153,12554.376513418378,34606.660859489835,28861.335112146,0.0,5745.325747343833,0.0,0.0,0.0,0.0,17518.398801811356,17518.398801811356,0.375,0.03749999999999999,0.1875,0.28476049039780627,7828019.451829643,52925.07084462534,0.03848922024208378,34606.660859489835,15.0,8000000,0
221.0,183601.72988915342,73373.39287437184,9521.085388711843,163334.10650963828,3415293.97598911,0.0,4154875.709349099,256975.12276352526,4251936.909502435,571.2651233227106,380.84341554847373,11541.321414858608,9180.086494457672,1467.467857487437,13207.210717386934,36045.21925896229,30042.27103776814,0.0,6002.94822119415,0.0,0.0,0.0,0.0,18360.172988915343,18360.172988915343,0.375,0.03749999999999999,0.1875,0.2855272217999554,7827144.808101734,53149.21136878044,0.03841404752375589,36045.21925896229,15.0,8000000,0
222.0,192182.33806636676,77113.62713855361,10047.361333512594,163725.23706904877,3390098.8952324046,0.0,4166832.5411602003,269295.9652049204,4270718.167199885,602.8416800107556,401.8944533405038,11574.534836556111,9609.116903318338,1542.2725427710723,13880.45288493965,37481.111727304844,31217.96900967475,0.0,6263.142717630097,0.0,0.0,0.0,0.0,19218.233806636676,19218.233806636676,0.375,0.03749999999999999,0.1875,0.28635270149656383,7826227.401597526,53383.97708999856,0.03833669904197775,37481.111727304844,15.0,8000000,0
223.0,200896.9115881393,80960.13318135333,10595.782845838528,164137.8549494056,3363507.2125732214,0.0,4179902.104862129,281857.04476949264,4290364.335374861,635.7469707503117,423.8313138335411,11610.83918017258,10044.845579406965,1619.2026636270668,14572.8239726436,38906.33731211533,32381.559609301337,0.0,6524.777702813986,0.0,0.0,0.0,0.0,20089.69115881393,20089.69115881393,0.375,0.03749999999999999,0.1875,0.2872382815464622,7825266.362204843,53629.55419218576,0.03825732318256939,38906.33731211533,15.0,8000000,0
